carne,cohorte,num_cursos_trans_matriculados,cursos_pendientes,es_activo,cat_transicion,apto_transicion,grupo_analisis,requiere_levantamiento
C25757,Otro,0,4,1,Otro,0,Otro,0
C4C147,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4C203,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4D009,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4D030,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4D328,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4E397,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4F543,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4F681,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4F772,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4G318,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4G536,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4G831,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4H223,C4,1,3,1,Escenario 3,0,C4C5-Con-Cursos,1
C4H392,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4I394,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4I412,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J445,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J724,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4K289,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4K826,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4L347,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4L690,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4L748,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
860190,Otro,0,4,1,Otro,0,Otro,0
A04122,Otro,0,4,1,Otro,0,Otro,0
A32130,Otro,0,4,1,Otro,0,Otro,0
A77234,Otro,0,4,1,Otro,0,Otro,0
B00417,Otro,0,4,1,Otro,0,Otro,0
B10399,Otro,0,4,1,Otro,0,Otro,0
B10741,Otro,0,4,1,Otro,0,Otro,0
B67997,Otro,0,4,1,Otro,0,Otro,0
C08940,Otro,0,4,1,Otro,0,Otro,0
C12625,Otro,2,2,1,Otro,0,Otro,0
C13985,Otro,0,4,1,Otro,0,Otro,0
C20536,Otro,0,4,1,Otro,0,Otro,0
C29417,Otro,0,4,1,Otro,0,Otro,0
C31047,Otro,0,4,1,Otro,0,Otro,0
C35204,Otro,0,4,1,Otro,0,Otro,0
C4C152,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4C552,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4D394,C4,2,2,1,Escenario 3,0,C4C5-Con-Cursos,1
C4E545,C4,1,3,1,Escenario 3,0,C4C5-Con-Cursos,1
C4F037,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4F900,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4G973,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4H520,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4I473,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4I583,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J067,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J350,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J774,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4J932,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4K158,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4K621,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4L358,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
C4L622,C4,0,4,1,Escenario 3,0,C4C5-Con-Cursos,1
